,name,winPlace,kills,Map,Time
70,Spooky SG,10,2,Desert_Main,2019-03-03T19:00:57Z
71,BJZ10,4,2,Desert_Main,2019-03-03T19:00:57Z
72,TippierBuckle95,15,0,Desert_Main,2019-03-03T19:00:57Z
73,J LEEZY v2,10,4,Desert_Main,2019-03-03T19:00:57Z
74,KoTa bwr,8,0,Desert_Main,2019-03-03T19:00:57Z
75,GhostlyNinja69,16,0,Desert_Main,2019-03-03T19:00:57Z
76,J Freddy,8,0,Desert_Main,2019-03-03T19:00:57Z
77,Sleeeeezy FX,1,0,Desert_Main,2019-03-03T19:00:57Z
78,Damita J0,19,0,Desert_Main,2019-03-03T19:00:57Z
79,BLiTz5,23,0,Desert_Main,2019-03-03T19:00:57Z
80,SavageRanger333,4,0,Desert_Main,2019-03-03T19:00:57Z
81,Pillowtoe82,15,0,Desert_Main,2019-03-03T19:00:57Z
82,MidwayMarlin339,21,0,Desert_Main,2019-03-03T19:00:57Z
83,Drakis Knight,17,0,Desert_Main,2019-03-03T19:00:57Z
84,ChannyThicc,15,3,Desert_Main,2019-03-03T19:00:57Z
85,xCAPnCrunch18x,3,5,Desert_Main,2019-03-03T19:00:57Z
86,BLACKNIGHT001,12,0,Desert_Main,2019-03-03T19:00:57Z
87,Agent00Slevin,8,0,Desert_Main,2019-03-03T19:00:57Z
88,BCBxTh3 H0SS,19,0,Desert_Main,2019-03-03T19:00:57Z
0,StrangeCrown223,18,0,Erangel_Main,2019-03-03T18:16:13Z
1,ddaddydolla,12,1,Erangel_Main,2019-03-03T18:16:13Z
2,brandon p22,7,0,Erangel_Main,2019-03-03T18:16:13Z
3,SL0SHER,20,0,Erangel_Main,2019-03-03T18:16:13Z
4,Pillowtoe82,9,0,Erangel_Main,2019-03-03T18:16:13Z
5,Sypher5,6,1,Erangel_Main,2019-03-03T18:16:13Z
6,Showstoper37,15,0,Erangel_Main,2019-03-03T18:16:13Z
7,SpiredStudent30,19,0,Erangel_Main,2019-03-03T18:16:13Z
8,SilverBullet198,4,1,Erangel_Main,2019-03-03T18:16:13Z
9,stonedjibby,7,0,Erangel_Main,2019-03-03T18:16:13Z
10,xCAPnPlanet18x,2,0,Erangel_Main,2019-03-03T18:16:13Z
11,Nutshelll,5,4,Erangel_Main,2019-03-03T18:16:13Z
12,SavageRanger333,10,1,Erangel_Main,2019-03-03T18:16:13Z
